point_id,date,chlorophyll_a
P01,2020-01-01,37.77
P02,2020-01-01,95.1
P03,2020-01-01,73.33
P01,2020-01-15,60.07
P02,2020-01-15,16.02
P03,2020-01-15,16.02
P01,2020-01-30,6.28
P02,2020-01-30,86.68
P03,2020-01-30,60.31
P01,2020-02-14,70.95
P02,2020-02-14,2.55
P03,2020-02-14,97.01
P01,2020-02-28,83.33
P02,2020-02-28,21.63
P03,2020-02-28,18.59
P01,2020-03-14,18.75
P02,2020-03-14,30.77
P03,2020-03-14,52.71
P01,2020-03-29,43.48
P02,2020-03-29,29.48
P03,2020-03-29,61.38
P01,2020-04-12,14.38
P02,2020-04-12,29.57
P03,2020-04-12,36.95
P01,2020-04-27,45.88
P02,2020-04-27,78.63
P03,2020-04-27,20.37
P01,2020-05-12,51.67
P02,2020-05-12,59.45
P03,2020-05-12,5.12
P01,2020-05-27,60.95
P02,2020-05-27,17.47
P03,2020-05-27,6.97
P01,2020-06-10,94.91
P02,2020-06-10,96.58
P03,2020-06-10,80.94
P01,2020-06-25,30.81
P02,2020-06-25,10.22
P03,2020-06-25,68.58
P01,2020-07-10,44.3
P02,2020-07-10,12.64
P03,2020-07-10,49.77
P01,2020-07-24,3.92
P02,2020-07-24,90.98
P03,2020-07-24,26.25
P01,2020-08-08,66.42
P02,2020-08-08,31.52
P03,2020-08-08,52.25
P01,2020-08-23,54.9
P02,2020-08-23,18.89
P03,2020-08-23,96.97
P01,2020-09-06,77.63
P02,2020-09-06,93.98
P03,2020-09-06,89.54
P01,2020-09-21,59.99
P02,2020-09-21,92.23
P03,2020-09-21,9.31
P01,2020-10-06,20.0
P02,2020-10-06,5.0
P03,2020-10-06,32.87
P01,2020-10-21,39.17
P02,2020-10-21,27.5
P03,2020-10-21,82.96
P01,2020-11-04,36.0
P02,2020-11-04,28.45
P03,2020-11-04,54.5
P01,2020-11-19,14.52
P02,2020-11-19,80.32
P03,2020-11-19,7.92
P01,2020-12-04,98.7
P02,2020-12-04,77.34
P03,2020-12-04,20.27
P01,2020-12-18,1.05
P02,2020-12-18,81.64
P03,2020-12-18,70.83
P01,2021-01-02,73.04
P02,2021-01-02,77.24
P03,2021-01-02,7.87
P01,2021-01-17,36.17
P02,2021-01-17,12.03
P03,2021-01-17,86.38
P01,2021-02-01,62.52
P02,2021-02-01,33.42
P03,2021-02-01,6.82
P01,2021-02-15,31.44
P02,2021-02-15,32.86
P03,2021-02-15,73.1
P01,2021-03-02,63.94
P02,2021-03-02,88.78
P03,2021-03-02,47.49
P01,2021-03-17,12.4
P02,2021-03-17,71.47
P03,2021-03-17,76.2
P01,2021-03-31,56.35
P02,2021-03-31,77.21
P03,2021-03-31,49.63
P01,2021-04-15,52.51
P02,2021-04-15,43.04
P03,2021-04-15,3.03
P01,2021-04-30,11.24
P02,2021-04-30,3.63
P03,2021-04-30,63.82
P01,2021-05-14,31.78
P02,2021-05-14,51.1
P03,2021-05-14,90.8
P01,2021-05-29,25.3
P02,2021-05-29,41.33
P03,2021-05-29,75.68
P01,2021-06-13,23.27
P02,2021-06-13,8.16
P03,2021-06-13,29.33
P01,2021-06-28,16.54
P02,2021-06-28,93.0
P03,2021-06-28,80.91
P01,2021-07-12,63.52
P02,2021-07-12,87.21
P03,2021-07-12,80.47
P01,2021-07-27,19.06
P02,2021-07-27,89.31
P03,2021-07-27,54.16
P01,2021-08-11,80.84
P02,2021-08-11,89.66
P03,2021-08-11,32.14
P01,2021-08-25,11.45
P02,2021-08-25,23.18
P03,2021-08-25,43.0
P01,2021-09-09,81.89
P02,2021-09-09,86.14
P03,2021-09-09,1.19
P01,2021-09-24,51.32
P02,2021-09-24,42.03
P03,2021-09-24,22.6
P01,2021-10-09,12.43
P02,2021-10-09,34.09
P03,2021-10-09,94.32
P01,2021-10-23,32.66
P02,2021-10-23,52.12
P03,2021-10-23,70.45
P01,2021-11-07,36.68
P02,2021-11-07,97.19
P03,2021-11-07,96.26
P01,2021-11-22,25.55
P02,2021-11-22,49.98
P03,2021-11-22,30.44
P01,2021-12-06,28.84
P02,2021-12-06,4.17
P03,2021-12-06,61.15
P01,2021-12-21,50.52
P02,2021-12-21,5.62
P03,2021-12-21,28.23
P01,2022-01-05,90.87
P02,2022-01-05,24.34
P03,2022-01-05,14.92
P01,2022-01-19,49.2
P02,2022-01-19,98.57
P03,2022-01-19,24.58
P01,2022-02-03,67.38
P02,2022-02-03,76.28
P03,2022-02-03,24.14
P01,2022-02-18,72.96
P02,2022-02-18,37.09
P03,2022-02-18,63.41
P01,2022-03-05,63.54
P02,2022-03-05,53.81
